,order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price,total_price
0,1612885,2019-01-01,16293,Malang,Jawa Timur,P1301,BRAND_F,6,747000,4482000
1,1612387,2019-01-01,17228,Bogor,Jawa Barat,P2086,BRAND_L,4,590000,2360000
2,1612903,2019-01-01,16775,Surakarta,Jawa Tengah,P1656,BRAND_G,3,1325000,3975000
9,1612702,2019-01-01,18119,Yogyakarta,Yogyakarta,P3813,BRAND_U,1,450000,450000
14,1612951,2019-01-01,16125,Jakarta Barat,DKI Jakarta,P1902,BRAND_J,10,695000,6950000
15,1612870,2019-01-01,15858,Bandung,Jawa Barat,P0797,BRAND_C,1,747000,747000
17,1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P3075,BRAND_R,1,2795000,2795000
21,1612852,2019-01-01,16086,Jakarta Selatan,DKI Jakarta,P3909,BRAND_V,2,2987000,5974000
23,1612393,2019-01-01,14907,Jakarta Selatan,DKI Jakarta,P1684,BRAND_H,24,747000,17928000
24,1612870,2019-01-01,15858,Bandung,Jawa Barat,P0810,BRAND_C,3,2987000,8961000
31,1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P1248,BRAND_E,2,1640000,3280000
35,1612945,2019-01-01,12839,Jakarta Selatan,DKI Jakarta,P1906,BRAND_J,10,695000,6950000
36,1612870,2019-01-01,15858,Bandung,Jawa Barat,P0010,BRAND_S,2,1045000,2090000
43,1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P1770,BRAND_H,1,240000,240000
45,1612873,2019-01-01,12748,Jakarta Utara,DKI Jakarta,P1387,BRAND_F,1,1745000,1745000
48,1612810,2019-01-01,14673,Jakarta Utara,DKI Jakarta,P2551,BRAND_P,24,590000,14160000
55,1612867,2019-01-01,13173,Jakarta Pusat,DKI Jakarta,P3132,BRAND_S,1,1745000,1745000
56,1612393,2019-01-01,14907,Jakarta Selatan,DKI Jakarta,P1307,BRAND_F,4,1325000,5300000
57,1612843,2019-01-01,16904,Bandung,Jawa Barat,P3481,BRAND_S,1,1745000,1745000
58,1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P2968,BRAND_R,4,4475000,17900000
64,1612960,2019-01-01,17897,Surakarta,Jawa Tengah,P1830,BRAND_I,1,2987000,2987000
67,1612882,2019-01-01,14739,Jakarta Utara,DKI Jakarta,P1935,BRAND_K,48,747000,35856000
70,1612813,2019-01-01,13488,Surabaya,Jawa Timur,P0707,BRAND_C,6,3494000,20964000
71,1612819,2019-01-01,15002,Bogor,Jawa Barat,P1563,BRAND_G,36,310000,11160000
72,1612813,2019-01-01,13488,Surabaya,Jawa Timur,P1242,BRAND_E,4,1500000,6000000
74,1612843,2019-01-01,16904,Bandung,Jawa Barat,P1904,BRAND_J,1,695000,695000
75,1612873,2019-01-01,12748,Jakarta Utara,DKI Jakarta,P0563,BRAND_B,1,2095000,2095000
78,1612468,2019-01-01,17017,Jakarta Selatan,DKI Jakarta,P1867,BRAND_J,24,520000,12480000
84,1612825,2019-01-01,15024,Yogyakarta,Yogyakarta,P4051,BRAND_W,2,520000,1040000
85,1612888,2019-01-01,17419,Jakarta Selatan,DKI Jakarta,P1662,BRAND_G,24,450000,10800000
91,1612402,2019-01-01,16059,Jakarta Utara,DKI Jakarta,P4069,BRAND_W,3,450000,1350000
92,1612873,2019-01-01,12748,Jakarta Utara,DKI Jakarta,P1208,BRAND_E,1,450000,450000
97,1612843,2019-01-01,16904,Bandung,Jawa Barat,P1193,BRAND_E,2,2095000,4190000
99,1612852,2019-01-01,16086,Jakarta Selatan,DKI Jakarta,P1655,BRAND_G,4,1325000,5300000
102,1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P1321,BRAND_F,12,79000,948000
104,1612702,2019-01-01,18119,Yogyakarta,Yogyakarta,P2736,BRAND_P,1,450000,450000
109,1612819,2019-01-01,15002,Bogor,Jawa Barat,P1511,BRAND_G,12,450000,5400000
110,1612819,2019-01-01,15002,Bogor,Jawa Barat,P2956,BRAND_R,4,1045000,4180000
112,1612819,2019-01-01,15002,Bogor,Jawa Barat,P0817,BRAND_C,4,520000,2080000
117,1612828,2019-01-01,17675,Jakarta Pusat,DKI Jakarta,P1680,BRAND_H,36,747000,26892000
118,1612978,2019-01-01,18102,Yogyakarta,Yogyakarta,P0931,BRAND_C,1008,821000,827568000
120,1612453,2019-01-01,14733,Jakarta Pusat,DKI Jakarta,P0887,BRAND_C,48,975000,46800000
121,1612888,2019-01-01,17419,Jakarta Selatan,DKI Jakarta,P1277,BRAND_F,2,3494000,6988000
123,1612828,2019-01-01,17675,Jakarta Pusat,DKI Jakarta,P0887,BRAND_C,24,975000,23400000
124,1612702,2019-01-01,18119,Yogyakarta,Yogyakarta,P2737,BRAND_P,1,747000,747000
125,1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P4049,BRAND_W,1,747000,747000
126,1612411,2019-01-01,15018,Jakarta Selatan,DKI Jakarta,P1210,BRAND_E,1,5245000,5245000
129,1612387,2019-01-01,17228,Bogor,Jawa Barat,P2103,BRAND_L,6,590000,3540000
130,1612972,2019-01-01,18102,Yogyakarta,Yogyakarta,P3820,BRAND_U,30,6956000,208680000
136,1612867,2019-01-01,13173,Jakarta Pusat,DKI Jakarta,P2964,BRAND_R,4,1325000,5300000
137,1612948,2019-01-01,13807,Jakarta Selatan,DKI Jakarta,P1742,BRAND_H,12,590000,7080000
140,1612615,2019-01-01,15353,Bandung,Jawa Barat,P3669,BRAND_S,2,3494000,6988000
143,1612615,2019-01-01,15353,Bandung,Jawa Barat,P1683,BRAND_H,12,747000,8964000
147,1612813,2019-01-01,13488,Surabaya,Jawa Timur,P0986,BRAND_D,2,2445000,4890000
148,1612945,2019-01-01,12839,Jakarta Selatan,DKI Jakarta,P0734,BRAND_C,10,310000,3100000
155,1612978,2019-01-01,18102,Yogyakarta,Yogyakarta,P4059,BRAND_W,600,1685000,1011000000
161,1612960,2019-01-01,17897,Surakarta,Jawa Tengah,P2755,BRAND_P,1,1325000,1325000
162,1612885,2019-01-01,16293,Malang,Jawa Timur,P1662,BRAND_G,24,450000,10800000
163,1612960,2019-01-01,17897,Surakarta,Jawa Tengah,P2564,BRAND_P,1,2375000,2375000
165,1612819,2019-01-01,15002,Bogor,Jawa Barat,P2074,BRAND_L,3,2095000,6285000
168,1612945,2019-01-01,12839,Jakarta Selatan,DKI Jakarta,P3531,BRAND_S,24,310000,7440000
170,1612960,2019-01-01,17897,Surakarta,Jawa Tengah,P0624,BRAND_B,1,1325000,1325000
173,1612960,2019-01-01,17897,Surakarta,Jawa Tengah,P2417,BRAND_P,12,113000,1356000
176,1612873,2019-01-01,12748,Jakarta Utara,DKI Jakarta,P0097,BRAND_A,2,904000,1808000
180,1612894,2019-01-01,17419,Jakarta Selatan,DKI Jakarta,P1867,BRAND_J,12,520000,6240000
181,1612402,2019-01-01,16059,Jakarta Utara,DKI Jakarta,P2900,BRAND_R,2,1045000,2090000
182,1612813,2019-01-01,13488,Surabaya,Jawa Timur,P3345,BRAND_S,12,520000,6240000
183,1612870,2019-01-01,15858,Bandung,Jawa Barat,P3029,BRAND_R,5,590000,2950000
184,1612825,2019-01-01,15024,Yogyakarta,Yogyakarta,P0680,BRAND_C,24,159000,3816000
188,1612903,2019-01-01,16775,Surakarta,Jawa Tengah,P0791,BRAND_C,5,1745000,8725000
190,1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P2762,BRAND_P,1,590000,590000
